date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:05	24023/24023	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Jan%202019%2022:56:59%20GMT	https://my.navyfederal.org/NFOAA_Auth/resetpassword.xhtml	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resetpassword.html	(from https://my.navyfederal.org/NFOAA_Auth/login.jsp)
17:57:06	24409/24409	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Jan%202019%2022:56:59%20GMT	https://my.navyfederal.org/NFOAA_Auth/enrollment.xhtml	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/enrollment.html	(from https://my.navyfederal.org/NFOAA_Auth/login.jsp)
17:57:06	3014/3014	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Oct%202018%2018:10:32%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/images/img_footer_logo-14091710c18c4576bb05b77eae62912e.png	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/images/img_footer_logo-14091710c18c4576bb05b77eae62912e.png	(from https://my.navyfederal.org/NFOAA_Auth/login.jsp)
17:57:07	27084/27084	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-regular-webfont.eot	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-regular-webfont.eot	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:08	27084/27084	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-regular-webfont.eot?	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-regular-webfontd41d.eot	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:08	23796/23796	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-regular-webfont.woff2	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-regular-webfont.woff2	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:09	29840/29840	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-regular-webfont.woff	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-regular-webfont.woff	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:10	68648/68648	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-regular-webfont.ttf	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-regular-webfont.ttf	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:10	108040/108040	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-regular-webfont.svg	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-regular-webfont.svg	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:10	27156/27156	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-semibold-webfont.eot	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-semibold-webfont.eot	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:11	27156/27156	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-semibold-webfont.eot?	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-semibold-webfontd41d.eot	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:11	23796/23796	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-semibold-webfont.woff2	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-semibold-webfont.woff2	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:12	29916/29916	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-semibold-webfont.woff	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-semibold-webfont.woff	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:12	67796/67796	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-semibold-webfont.ttf	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-semibold-webfont.ttf	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:13	5527/5527	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/images/css/icons.png	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/images/css/icons.png	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
